================================================================================
 case4                                                                                               
 Short sim name = case4           
================================================================================
    t-t0    NO            NO2           O3            OH            HO2           CO            H2O2          HNO3          HCHO          C5H8          IPROD   
     0.0  0.100000E+00  0.100000E+01  0.400000E+02  0.000000E+00  0.000000E+00  0.100000E+03  0.100000E+01  0.000000E+00  0.500000E+00  0.100000E+01  0.000000E+00
    10.0  0.173507E+00  0.926052E+00  0.400716E+02  0.264006E+07  0.187193E+08  0.100000E+03  0.999883E+00  0.211349E-03  0.499486E+00  0.997428E+00  0.257198E-02
    20.0  0.231744E+00  0.867333E+00  0.401284E+02  0.289033E+07  0.320249E+08  0.100000E+03  0.999761E+00  0.435772E-03  0.499031E+00  0.994516E+00  0.548383E-02
    30.0  0.277635E+00  0.820946E+00  0.401733E+02  0.312968E+07  0.409104E+08  0.999999E+02  0.999636E+00  0.666263E-03  0.498647E+00  0.991355E+00  0.864462E-02
    40.0  0.314161E+00  0.783941E+00  0.402092E+02  0.333418E+07  0.467878E+08  0.999998E+02  0.999509E+00  0.901474E-03  0.498322E+00  0.987986E+00  0.120142E-01
    50.0  0.342667E+00  0.754989E+00  0.402374E+02  0.349470E+07  0.503580E+08  0.999996E+02  0.999378E+00  0.113992E-02  0.498045E+00  0.984435E+00  0.155646E-01
    60.0  0.364984E+00  0.732258E+00  0.402597E+02  0.361542E+07  0.523898E+08  0.999995E+02  0.999246E+00  0.137975E-02  0.497798E+00  0.980754E+00  0.192461E-01
    70.0  0.382615E+00  0.714241E+00  0.402774E+02  0.370502E+07  0.534413E+08  0.999993E+02  0.999112E+00  0.161973E-02  0.497569E+00  0.976984E+00  0.230163E-01
    80.0  0.396589E+00  0.699902E+00  0.402916E+02  0.377104E+07  0.538723E+08  0.999991E+02  0.998977E+00  0.185917E-02  0.497350E+00  0.973154E+00  0.268458E-01
    90.0  0.407734E+00  0.688409E+00  0.403030E+02  0.382006E+07  0.539321E+08  0.999989E+02  0.998841E+00  0.209775E-02  0.497136E+00  0.969287E+00  0.307133E-01
   100.0  0.416555E+00  0.679251E+00  0.403122E+02  0.385657E+07  0.537777E+08  0.999986E+02  0.998704E+00  0.233531E-02  0.496926E+00  0.965395E+00  0.346049E-01
   110.0  0.423553E+00  0.671924E+00  0.403195E+02  0.388467E+07  0.535222E+08  0.999984E+02  0.998567E+00  0.257193E-02  0.496718E+00  0.961490E+00  0.385099E-01
   120.0  0.429246E+00  0.665908E+00  0.403256E+02  0.390764E+07  0.532336E+08  0.999982E+02  0.998429E+00  0.280781E-02  0.496510E+00  0.957579E+00  0.424212E-01
   130.0  0.433812E+00  0.661022E+00  0.403305E+02  0.392696E+07  0.529486E+08  0.999980E+02  0.998291E+00  0.304310E-02  0.496303E+00  0.953665E+00  0.463350E-01
   140.0  0.437594E+00  0.656921E+00  0.403347E+02  0.394409E+07  0.526793E+08  0.999977E+02  0.998153E+00  0.327799E-02  0.496096E+00  0.949751E+00  0.502493E-01
   150.0  0.440725E+00  0.653473E+00  0.403382E+02  0.395979E+07  0.524370E+08  0.999975E+02  0.998014E+00  0.351261E-02  0.495889E+00  0.945837E+00  0.541627E-01
   160.0  0.443016E+00  0.650865E+00  0.403409E+02  0.397429E+07  0.522522E+08  0.999972E+02  0.997875E+00  0.374710E-02  0.495682E+00  0.941927E+00  0.580726E-01
   170.0  0.444855E+00  0.648710E+00  0.403432E+02  0.398848E+07  0.521109E+08  0.999970E+02  0.997736E+00  0.398173E-02  0.495477E+00  0.938021E+00  0.619794E-01
   180.0  0.446380E+00  0.646868E+00  0.403451E+02  0.400260E+07  0.520039E+08  0.999967E+02  0.997597E+00  0.421659E-02  0.495271E+00  0.934117E+00  0.658834E-01
   190.0  0.447735E+00  0.645196E+00  0.403469E+02  0.401668E+07  0.519154E+08  0.999965E+02  0.997457E+00  0.445155E-02  0.495066E+00  0.930214E+00  0.697859E-01
   200.0  0.448771E+00  0.643843E+00  0.403483E+02  0.403094E+07  0.518684E+08  0.999962E+02  0.997317E+00  0.468697E-02  0.494862E+00  0.926315E+00  0.736849E-01
   210.0  0.449542E+00  0.642754E+00  0.403495E+02  0.404546E+07  0.518611E+08  0.999960E+02  0.997177E+00  0.492304E-02  0.494658E+00  0.922420E+00  0.775801E-01
   220.0  0.450235E+00  0.641743E+00  0.403506E+02  0.406005E+07  0.518651E+08  0.999957E+02  0.997037E+00  0.515926E-02  0.494455E+00  0.918526E+00  0.814743E-01
   230.0  0.450700E+00  0.640959E+00  0.403515E+02  0.407513E+07  0.519097E+08  0.999955E+02  0.996896E+00  0.539656E-02  0.494253E+00  0.914636E+00  0.853642E-01
   240.0  0.451113E+00  0.640228E+00  0.403524E+02  0.409030E+07  0.519633E+08  0.999952E+02  0.996756E+00  0.563408E-02  0.494052E+00  0.910747E+00  0.892533E-01
   250.0  0.451371E+00  0.639651E+00  0.403531E+02  0.410593E+07  0.520481E+08  0.999949E+02  0.996615E+00  0.587276E-02  0.493852E+00  0.906861E+00  0.931387E-01
   260.0  0.451588E+00  0.639114E+00  0.403537E+02  0.412172E+07  0.521421E+08  0.999946E+02  0.996473E+00  0.611199E-02  0.493653E+00  0.902977E+00  0.970228E-01
   270.0  0.451725E+00  0.638657E+00  0.403543E+02  0.413781E+07  0.522536E+08  0.999944E+02  0.996332E+00  0.635204E-02  0.493454E+00  0.899095E+00  0.100905E+00
   280.0  0.451842E+00  0.638220E+00  0.403549E+02  0.415402E+07  0.523700E+08  0.999941E+02  0.996190E+00  0.659239E-02  0.493257E+00  0.895214E+00  0.104786E+00
   290.0  0.451863E+00  0.637878E+00  0.403554E+02  0.417077E+07  0.525114E+08  0.999938E+02  0.996048E+00  0.683497E-02  0.493062E+00  0.891337E+00  0.108663E+00
   300.0  0.451864E+00  0.637557E+00  0.403558E+02  0.418758E+07  0.526582E+08  0.999935E+02  0.995906E+00  0.707793E-02  0.492867E+00  0.887461E+00  0.112539E+00
