        ispec        sspc
      1          NO      
      2          NO2     
      3          O3      
     12          HONO    
     13          HNO3    
     14          HO2NO2  
      7          N2O5    
     15          CH4     
     18          HCHO    
     10          CO      
     11          H2O2    
     23          C5H8    
     24          IPROD   
