================================================================================
 case1                                                                                               
 Short sim name = case1           
================================================================================
    t-t0    NO            NO2           O3            HO            HO2           CO            H2O2          HNO3          HCHO          ISO           MACR          MVK     
     0.0  0.100000E+00  0.100000E+01  0.400000E+02  0.000000E+00  0.000000E+00  0.100000E+03  0.100000E+01  0.000000E+00  0.500000E+00  0.100000E+01  0.000000E+00  0.000000E+00
    10.0  0.170611E+00  0.928818E+00  0.400693E+02  0.249201E+07  0.317668E+08  0.100000E+03  0.999898E+00  0.215525E-03  0.499831E+00  0.997545E+00  0.142233E-03  0.162378E-03
    20.0  0.223799E+00  0.874711E+00  0.401229E+02  0.302564E+07  0.658433E+08  0.999998E+02  0.999794E+00  0.463716E-03  0.500362E+00  0.994599E+00  0.534646E-03  0.709840E-03
    30.0  0.263024E+00  0.834208E+00  0.401647E+02  0.368828E+07  0.100065E+09  0.999996E+02  0.999691E+00  0.756332E-03  0.501640E+00  0.991029E+00  0.119341E-02  0.166747E-02
    40.0  0.291437E+00  0.804235E+00  0.401978E+02  0.438333E+07  0.131841E+09  0.999992E+02  0.999594E+00  0.109929E-02  0.503583E+00  0.986762E+00  0.209013E-02  0.299188E-02
    50.0  0.311552E+00  0.782354E+00  0.402247E+02  0.504595E+07  0.160118E+09  0.999986E+02  0.999506E+00  0.149186E-02  0.506105E+00  0.981812E+00  0.319283E-02  0.463418E-02
    60.0  0.325412E+00  0.766583E+00  0.402470E+02  0.564570E+07  0.184929E+09  0.999980E+02  0.999430E+00  0.193002E-02  0.509122E+00  0.976241E+00  0.447161E-02  0.654872E-02
    70.0  0.334604E+00  0.755379E+00  0.402662E+02  0.617511E+07  0.206689E+09  0.999972E+02  0.999366E+00  0.240896E-02  0.512564E+00  0.970126E+00  0.590000E-02  0.869511E-02
    80.0  0.340390E+00  0.747513E+00  0.402834E+02  0.663716E+07  0.225880E+09  0.999964E+02  0.999316E+00  0.292360E-02  0.516362E+00  0.963552E+00  0.745277E-02  0.110348E-01
    90.0  0.343696E+00  0.742081E+00  0.402992E+02  0.703805E+07  0.242890E+09  0.999954E+02  0.999280E+00  0.346976E-02  0.520462E+00  0.956592E+00  0.910894E-02  0.135358E-01
   100.0  0.345246E+00  0.738376E+00  0.403142E+02  0.738606E+07  0.258058E+09  0.999945E+02  0.999258E+00  0.404345E-02  0.524811E+00  0.949314E+00  0.108491E-01  0.161683E-01
   110.0  0.345563E+00  0.735886E+00  0.403287E+02  0.768919E+07  0.271654E+09  0.999934E+02  0.999250E+00  0.464128E-02  0.529368E+00  0.941777E+00  0.126569E-01  0.189077E-01
   120.0  0.345031E+00  0.734234E+00  0.403431E+02  0.795459E+07  0.283893E+09  0.999923E+02  0.999255E+00  0.526038E-02  0.534095E+00  0.934027E+00  0.145190E-01  0.217332E-01
   130.0  0.343929E+00  0.733149E+00  0.403575E+02  0.818843E+07  0.294955E+09  0.999912E+02  0.999273E+00  0.589828E-02  0.538963E+00  0.926106E+00  0.164239E-01  0.246274E-01
   140.0  0.342455E+00  0.732437E+00  0.403720E+02  0.839587E+07  0.304985E+09  0.999901E+02  0.999304E+00  0.655290E-02  0.543947E+00  0.918046E+00  0.183622E-01  0.275760E-01
   150.0  0.340752E+00  0.731958E+00  0.403867E+02  0.858123E+07  0.314106E+09  0.999889E+02  0.999347E+00  0.722248E-02  0.549027E+00  0.909876E+00  0.203263E-01  0.305673E-01
   160.0  0.338921E+00  0.731613E+00  0.404016E+02  0.874807E+07  0.322421E+09  0.999877E+02  0.999400E+00  0.790548E-02  0.554185E+00  0.901618E+00  0.223096E-01  0.335911E-01
   170.0  0.337033E+00  0.731332E+00  0.404167E+02  0.889931E+07  0.330019E+09  0.999865E+02  0.999464E+00  0.860059E-02  0.559407E+00  0.893291E+00  0.243066E-01  0.366392E-01
   180.0  0.335137E+00  0.731070E+00  0.404321E+02  0.903738E+07  0.336975E+09  0.999853E+02  0.999538E+00  0.930667E-02  0.564681E+00  0.884913E+00  0.263127E-01  0.397045E-01
