================================================================================
 case4                                                                                               
 Short sim name = case4           
================================================================================
    t-t0      NO            NO2           O3            OH            HO2           CO            H2O2          HNO3          HCHO          ISOP          ISOPRD
     0.0  0.100000E+00  0.100000E+01  0.400000E+02  0.000000E+00  0.000000E+00  0.100000E+03  0.100000E+01  0.000000E+00  0.500000E+00  0.100000E+01  0.000000E+00
    10.0  0.172511E+00  0.926993E+00  0.400705E+02  0.294287E+07  0.240203E+08  0.100000E+03  0.999878E+00  0.239756E-03  0.499616E+00  0.997012E+00  0.208956E-03
    20.0  0.228991E+00  0.869848E+00  0.401262E+02  0.331476E+07  0.478770E+08  0.999998E+02  0.999753E+00  0.493812E-03  0.499613E+00  0.993642E+00  0.876559E-03
    30.0  0.272419E+00  0.825586E+00  0.401702E+02  0.378669E+07  0.721717E+08  0.999997E+02  0.999627E+00  0.766746E-03  0.500092E+00  0.989836E+00  0.214253E-02
    40.0  0.305387E+00  0.791639E+00  0.402054E+02  0.431536E+07  0.962511E+08  0.999994E+02  0.999502E+00  0.106445E-02  0.501075E+00  0.985518E+00  0.405142E-02
    50.0  0.329980E+00  0.765947E+00  0.402338E+02  0.485859E+07  0.119228E+09  0.999990E+02  0.999379E+00  0.138974E-02  0.502544E+00  0.980658E+00  0.659838E-02
    60.0  0.347975E+00  0.746755E+00  0.402573E+02  0.538353E+07  0.140497E+09  0.999985E+02  0.999262E+00  0.174295E-02  0.504463E+00  0.975266E+00  0.974429E-02
    70.0  0.360822E+00  0.732633E+00  0.402770E+02  0.587042E+07  0.159781E+09  0.999980E+02  0.999152E+00  0.212305E-02  0.506787E+00  0.969379E+00  0.134347E-01
    80.0  0.369737E+00  0.722382E+00  0.402941E+02  0.631014E+07  0.177051E+09  0.999974E+02  0.999049E+00  0.252795E-02  0.509466E+00  0.963053E+00  0.176020E-01
    90.0  0.375680E+00  0.715056E+00  0.403094E+02  0.669989E+07  0.192386E+09  0.999967E+02  0.998955E+00  0.295550E-02  0.512452E+00  0.956348E+00  0.221808E-01
   100.0  0.379436E+00  0.709881E+00  0.403235E+02  0.704232E+07  0.205965E+09  0.999959E+02  0.998869E+00  0.340303E-02  0.515697E+00  0.949328E+00  0.271011E-01
   110.0  0.381557E+00  0.706314E+00  0.403367E+02  0.734058E+07  0.217927E+09  0.999951E+02  0.998793E+00  0.386872E-02  0.519163E+00  0.942042E+00  0.323099E-01
   120.0  0.382510E+00  0.703894E+00  0.403495E+02  0.760020E+07  0.228466E+09  0.999943E+02  0.998724E+00  0.435030E-02  0.522809E+00  0.934542E+00  0.377509E-01
   130.0  0.382625E+00  0.702298E+00  0.403620E+02  0.782605E+07  0.237738E+09  0.999934E+02  0.998664E+00  0.484608E-02  0.526605E+00  0.926869E+00  0.433803E-01
   140.0  0.382162E+00  0.701268E+00  0.403745E+02  0.802328E+07  0.245905E+09  0.999925E+02  0.998611E+00  0.535434E-02  0.530523E+00  0.919060E+00  0.491571E-01
   150.0  0.381308E+00  0.700623E+00  0.403869E+02  0.819631E+07  0.253107E+09  0.999916E+02  0.998565E+00  0.587366E-02  0.534539E+00  0.911144E+00  0.550485E-01
   160.0  0.380200E+00  0.700227E+00  0.403995E+02  0.834902E+07  0.259468E+09  0.999907E+02  0.998525E+00  0.640280E-02  0.538633E+00  0.903148E+00  0.610263E-01
   170.0  0.378935E+00  0.699985E+00  0.404121E+02  0.848474E+07  0.265096E+09  0.999897E+02  0.998491E+00  0.694070E-02  0.542789E+00  0.895092E+00  0.670674E-01
   180.0  0.377586E+00  0.699826E+00  0.404249E+02  0.860626E+07  0.270085E+09  0.999888E+02  0.998462E+00  0.748645E-02  0.546993E+00  0.886993E+00  0.731524E-01
   190.0  0.376201E+00  0.699703E+00  0.404378E+02  0.871593E+07  0.274520E+09  0.999878E+02  0.998437E+00  0.803926E-02  0.551234E+00  0.878865E+00  0.792651E-01
   200.0  0.374814E+00  0.699581E+00  0.404509E+02  0.881571E+07  0.278472E+09  0.999868E+02  0.998417E+00  0.859845E-02  0.555502E+00  0.870721E+00  0.853920E-01
   210.0  0.373448E+00  0.699439E+00  0.404642E+02  0.890723E+07  0.282003E+09  0.999859E+02  0.998401E+00  0.916345E-02  0.559789E+00  0.862568E+00  0.915219E-01
   220.0  0.372118E+00  0.699263E+00  0.404776E+02  0.899183E+07  0.285167E+09  0.999849E+02  0.998388E+00  0.973375E-02  0.564089E+00  0.854417E+00  0.976455E-01
   230.0  0.370832E+00  0.699042E+00  0.404911E+02  0.907063E+07  0.288012E+09  0.999839E+02  0.998378E+00  0.103089E-01  0.568396E+00  0.846273E+00  0.103755E+00
   240.0  0.369597E+00  0.698772E+00  0.405048E+02  0.914440E+07  0.290568E+09  0.999829E+02  0.998370E+00  0.108888E-01  0.572706E+00  0.838144E+00  0.109842E+00
   250.0  0.368416E+00  0.698450E+00  0.405185E+02  0.921396E+07  0.292873E+09  0.999820E+02  0.998366E+00  0.114730E-01  0.577013E+00  0.830033E+00  0.115901E+00
   260.0  0.367286E+00  0.698077E+00  0.405324E+02  0.928001E+07  0.294962E+09  0.999810E+02  0.998363E+00  0.120612E-01  0.581315E+00  0.821947E+00  0.121926E+00
   270.0  0.366205E+00  0.697655E+00  0.405464E+02  0.934311E+07  0.296863E+09  0.999800E+02  0.998363E+00  0.126532E-01  0.585608E+00  0.813887E+00  0.127913E+00
   280.0  0.365171E+00  0.697187E+00  0.405604E+02  0.940373E+07  0.298601E+09  0.999790E+02  0.998364E+00  0.132487E-01  0.589890E+00  0.805858E+00  0.133859E+00
   290.0  0.364181E+00  0.696676E+00  0.405745E+02  0.946226E+07  0.300197E+09  0.999781E+02  0.998366E+00  0.138476E-01  0.594158E+00  0.797861E+00  0.139762E+00
   300.0  0.363229E+00  0.696126E+00  0.405887E+02  0.951904E+07  0.301671E+09  0.999771E+02  0.998371E+00  0.144496E-01  0.598412E+00  0.789899E+00  0.145617E+00
