================================================================================
 case3                                                                                               
 Short sim name = case3           
================================================================================
    t-t0    NO            NO2           O3            OH            HO2           CO            H2O2          HNO3          HCHO          C5H8          IPROD   
     0.0  0.100000E+01  0.100000E+02  0.120000E+03  0.000000E+00  0.000000E+00  0.100000E+03  0.100000E+01  0.000000E+00  0.500000E+00  0.100000E+02  0.000000E+00
    10.0  0.137556E+01  0.961902E+01  0.120365E+03  0.807941E+06  0.315575E+07  0.100000E+03  0.999912E+00  0.779670E-03  0.499603E+00  0.998773E+01  0.122687E-01
    20.0  0.158697E+01  0.940351E+01  0.120567E+03  0.818318E+06  0.338521E+07  0.100000E+03  0.999824E+00  0.155414E-02  0.499240E+00  0.997531E+01  0.246877E-01
    30.0  0.170326E+01  0.928379E+01  0.120674E+03  0.825102E+06  0.353166E+07  0.100001E+03  0.999736E+00  0.232296E-02  0.498883E+00  0.996287E+01  0.371330E-01
    40.0  0.176740E+01  0.921665E+01  0.120730E+03  0.830049E+06  0.366130E+07  0.100001E+03  0.999648E+00  0.308971E-02  0.498526E+00  0.995040E+01  0.496048E-01
    50.0  0.180549E+01  0.917582E+01  0.120759E+03  0.834012E+06  0.377743E+07  0.100001E+03  0.999559E+00  0.385639E-02  0.498169E+00  0.993790E+01  0.620978E-01
    60.0  0.182720E+01  0.915158E+01  0.120773E+03  0.837240E+06  0.387936E+07  0.100001E+03  0.999471E+00  0.462389E-02  0.497811E+00  0.992539E+01  0.746099E-01
    70.0  0.183987E+01  0.913653E+01  0.120777E+03  0.839982E+06  0.396796E+07  0.100002E+03  0.999382E+00  0.539266E-02  0.497454E+00  0.991286E+01  0.871368E-01
    80.0  0.184723E+01  0.912692E+01  0.120776E+03  0.842366E+06  0.404390E+07  0.100002E+03  0.999294E+00  0.616294E-02  0.497097E+00  0.990032E+01  0.996757E-01
    90.0  0.185162E+01  0.912039E+01  0.120772E+03  0.844495E+06  0.410905E+07  0.100002E+03  0.999205E+00  0.693474E-02  0.496741E+00  0.988778E+01  0.112223E+00
   100.0  0.185441E+01  0.911550E+01  0.120767E+03  0.846457E+06  0.416625E+07  0.100002E+03  0.999117E+00  0.770778E-02  0.496384E+00  0.987522E+01  0.124776E+00
   110.0  0.185592E+01  0.911199E+01  0.120760E+03  0.848238E+06  0.421392E+07  0.100003E+03  0.999028E+00  0.848254E-02  0.496029E+00  0.986267E+01  0.137334E+00
   120.0  0.185687E+01  0.910907E+01  0.120753E+03  0.849918E+06  0.425588E+07  0.100003E+03  0.998940E+00  0.925846E-02  0.495673E+00  0.985011E+01  0.149895E+00
   130.0  0.185739E+01  0.910663E+01  0.120746E+03  0.851501E+06  0.429201E+07  0.100003E+03  0.998851E+00  0.100357E-01  0.495319E+00  0.983754E+01  0.162457E+00
   140.0  0.185767E+01  0.910446E+01  0.120738E+03  0.853021E+06  0.432425E+07  0.100003E+03  0.998762E+00  0.108138E-01  0.494964E+00  0.982498E+01  0.175019E+00
   150.0  0.185774E+01  0.910254E+01  0.120730E+03  0.854456E+06  0.435100E+07  0.100004E+03  0.998674E+00  0.115935E-01  0.494610E+00  0.981242E+01  0.187581E+00
   160.0  0.185773E+01  0.910073E+01  0.120722E+03  0.855853E+06  0.437534E+07  0.100004E+03  0.998585E+00  0.123739E-01  0.494256E+00  0.979986E+01  0.200142E+00
   170.0  0.185762E+01  0.909904E+01  0.120714E+03  0.857186E+06  0.439527E+07  0.100004E+03  0.998496E+00  0.131559E-01  0.493903E+00  0.978730E+01  0.212700E+00
   180.0  0.185749E+01  0.909739E+01  0.120706E+03  0.858494E+06  0.441357E+07  0.100004E+03  0.998408E+00  0.139385E-01  0.493550E+00  0.977474E+01  0.225257E+00
   190.0  0.185733E+01  0.909579E+01  0.120698E+03  0.859753E+06  0.442850E+07  0.100005E+03  0.998319E+00  0.147227E-01  0.493197E+00  0.976219E+01  0.237810E+00
   200.0  0.185716E+01  0.909423E+01  0.120690E+03  0.860986E+06  0.444165E+07  0.100005E+03  0.998230E+00  0.155081E-01  0.492845E+00  0.974964E+01  0.250357E+00
   210.0  0.185698E+01  0.909267E+01  0.120682E+03  0.862212E+06  0.445423E+07  0.100005E+03  0.998141E+00  0.162937E-01  0.492494E+00  0.973710E+01  0.262904E+00
   220.0  0.185679E+01  0.909113E+01  0.120673E+03  0.863409E+06  0.446481E+07  0.100005E+03  0.998053E+00  0.170808E-01  0.492142E+00  0.972456E+01  0.275444E+00
   230.0  0.185661E+01  0.908961E+01  0.120665E+03  0.864598E+06  0.447480E+07  0.100005E+03  0.997964E+00  0.178681E-01  0.491791E+00  0.971202E+01  0.287984E+00
   240.0  0.185642E+01  0.908810E+01  0.120657E+03  0.865762E+06  0.448303E+07  0.100006E+03  0.997875E+00  0.186570E-01  0.491440E+00  0.969948E+01  0.300517E+00
   250.0  0.185623E+01  0.908659E+01  0.120649E+03  0.866920E+06  0.449083E+07  0.100006E+03  0.997786E+00  0.194464E-01  0.491090E+00  0.968695E+01  0.313047E+00
   260.0  0.185604E+01  0.908510E+01  0.120641E+03  0.868064E+06  0.449762E+07  0.100006E+03  0.997698E+00  0.202371E-01  0.490740E+00  0.967443E+01  0.325570E+00
   270.0  0.185585E+01  0.908360E+01  0.120633E+03  0.869203E+06  0.450401E+07  0.100006E+03  0.997609E+00  0.210282E-01  0.490390E+00  0.966191E+01  0.338091E+00
   280.0  0.185567E+01  0.908211E+01  0.120625E+03  0.870333E+06  0.450976E+07  0.100007E+03  0.997520E+00  0.218201E-01  0.490041E+00  0.964939E+01  0.350607E+00
   290.0  0.185548E+01  0.908063E+01  0.120617E+03  0.871456E+06  0.451499E+07  0.100007E+03  0.997431E+00  0.226129E-01  0.489692E+00  0.963688E+01  0.363119E+00
   300.0  0.185530E+01  0.907915E+01  0.120609E+03  0.872572E+06  0.451971E+07  0.100007E+03  0.997342E+00  0.234068E-01  0.489343E+00  0.962438E+01  0.375624E+00
