================================================================================
 case3                                                                                               
 Short sim name = case3           
================================================================================
    t-t0    NO            NO2           O3            OH            HO2           CO            H2O2          HNO3          HCHO          C5H8          MACR          MVK     
     0.0  0.100000E+01  0.100000E+02  0.120000E+03  0.000000E+00  0.000000E+00  0.100000E+03  0.100000E+01  0.000000E+00  0.500000E+00  0.100000E+02  0.000000E+00  0.000000E+00
    10.0  0.134554E+01  0.964507E+01  0.120347E+03  0.148449E+07  0.585435E+08  0.100001E+03  0.999907E+00  0.119959E-02  0.511112E+00  0.998136E+01  0.673655E-02  0.411022E-02
    20.0  0.152397E+01  0.945301E+01  0.120545E+03  0.186884E+07  0.907060E+08  0.100002E+03  0.999811E+00  0.284406E-02  0.532327E+00  0.995714E+01  0.185038E-01  0.118647E-01
    30.0  0.161371E+01  0.934890E+01  0.120662E+03  0.213133E+07  0.110592E+09  0.100003E+03  0.999716E+00  0.478214E-02  0.558162E+00  0.992922E+01  0.325478E-01  0.212717E-01
    40.0  0.165722E+01  0.929115E+01  0.120740E+03  0.234443E+07  0.127321E+09  0.100003E+03  0.999622E+00  0.694173E-02  0.586893E+00  0.989855E+01  0.480208E-01  0.317186E-01
    50.0  0.167756E+01  0.925676E+01  0.120799E+03  0.253401E+07  0.142902E+09  0.100004E+03  0.999530E+00  0.927869E-02  0.617808E+00  0.986574E+01  0.645720E-01  0.429523E-01
    60.0  0.168454E+01  0.923589E+01  0.120850E+03  0.270605E+07  0.157664E+09  0.100005E+03  0.999440E+00  0.117823E-01  0.650721E+00  0.983094E+01  0.821091E-01  0.549070E-01
    70.0  0.168439E+01  0.922224E+01  0.120897E+03  0.286487E+07  0.171725E+09  0.100006E+03  0.999354E+00  0.144365E-01  0.685404E+00  0.979438E+01  0.100517E+00  0.675003E-01
    80.0  0.168027E+01  0.921265E+01  0.120944E+03  0.301243E+07  0.185097E+09  0.100007E+03  0.999270E+00  0.172378E-01  0.721780E+00  0.975615E+01  0.119758E+00  0.807056E-01
    90.0  0.167423E+01  0.920506E+01  0.120992E+03  0.315083E+07  0.197826E+09  0.100007E+03  0.999191E+00  0.201745E-01  0.759685E+00  0.971640E+01  0.139746E+00  0.944623E-01
