================================================================================
 case3                                                                                               
 Short sim name = case3           
================================================================================
    t-t0    NO            NO2           O3            OH            HO2           CO            H2O2          HNO3          HCHO          C5H8          MACR          MVK     
   100.0  0.166730E+01  0.919840E+01  0.121043E+03  0.328167E+07  0.209970E+09  0.100008E+03  0.999115E+00  0.232330E-01  0.798939E+00  0.967531E+01  0.160393E+00  0.108706E+00
   110.0  0.165999E+01  0.919217E+01  0.121096E+03  0.340470E+07  0.221453E+09  0.100009E+03  0.999044E+00  0.264271E-01  0.839663E+00  0.963275E+01  0.181753E+00  0.123479E+00
   120.0  0.165264E+01  0.918601E+01  0.121152E+03  0.352164E+07  0.232390E+09  0.100010E+03  0.998978E+00  0.297324E-01  0.881561E+00  0.958901E+01  0.203681E+00  0.138676E+00
   130.0  0.164538E+01  0.917978E+01  0.121211E+03  0.363294E+07  0.242803E+09  0.100011E+03  0.998916E+00  0.331432E-01  0.924549E+00  0.954418E+01  0.226132E+00  0.154264E+00
   140.0  0.163828E+01  0.917342E+01  0.121272E+03  0.373896E+07  0.252708E+09  0.100012E+03  0.998858E+00  0.366553E-01  0.968556E+00  0.949833E+01  0.249069E+00  0.170217E+00
   150.0  0.163136E+01  0.916689E+01  0.121336E+03  0.384032E+07  0.262157E+09  0.100013E+03  0.998805E+00  0.402577E-01  0.101345E+01  0.945157E+01  0.272425E+00  0.186488E+00
   160.0  0.162464E+01  0.916018E+01  0.121402E+03  0.393691E+07  0.271128E+09  0.100014E+03  0.998756E+00  0.439537E-01  0.105923E+01  0.940392E+01  0.296201E+00  0.203078E+00
   170.0  0.161813E+01  0.915327E+01  0.121470E+03  0.402910E+07  0.279649E+09  0.100015E+03  0.998712E+00  0.477373E-01  0.110582E+01  0.935544E+01  0.320353E+00  0.219955E+00
   180.0  0.161181E+01  0.914617E+01  0.121540E+03  0.411723E+07  0.287751E+09  0.100016E+03  0.998673E+00  0.516019E-01  0.115314E+01  0.930622E+01  0.344836E+00  0.237088E+00
   190.0  0.160569E+01  0.913889E+01  0.121612E+03  0.420154E+07  0.295454E+09  0.100018E+03  0.998637E+00  0.555433E-01  0.120110E+01  0.925632E+01  0.369619E+00  0.254455E+00
   200.0  0.159975E+01  0.913143E+01  0.121686E+03  0.428219E+07  0.302770E+09  0.100019E+03  0.998606E+00  0.595584E-01  0.124968E+01  0.920580E+01  0.394674E+00  0.272035E+00
   210.0  0.159398E+01  0.912379E+01  0.121762E+03  0.435943E+07  0.309720E+09  0.100020E+03  0.998579E+00  0.636430E-01  0.129880E+01  0.915470E+01  0.419972E+00  0.289808E+00
   220.0  0.158837E+01  0.911599E+01  0.121839E+03  0.443342E+07  0.316320E+09  0.100022E+03  0.998557E+00  0.677939E-01  0.134842E+01  0.910308E+01  0.445486E+00  0.307754E+00
   230.0  0.158293E+01  0.910802E+01  0.121917E+03  0.450429E+07  0.322581E+09  0.100023E+03  0.998538E+00  0.720084E-01  0.139850E+01  0.905098E+01  0.471192E+00  0.325858E+00
   240.0  0.157763E+01  0.909991E+01  0.121997E+03  0.457226E+07  0.328522E+09  0.100025E+03  0.998523E+00  0.762828E-01  0.144897E+01  0.899845E+01  0.497065E+00  0.344101E+00
   250.0  0.157248E+01  0.909164E+01  0.122078E+03  0.463746E+07  0.334158E+09  0.100026E+03  0.998511E+00  0.806140E-01  0.149980E+01  0.894553E+01  0.523083E+00  0.362466E+00
   260.0  0.156746E+01  0.908323E+01  0.122160E+03  0.469999E+07  0.339497E+09  0.100028E+03  0.998503E+00  0.850005E-01  0.155096E+01  0.889226E+01  0.549226E+00  0.380942E+00
   270.0  0.156256E+01  0.907469E+01  0.122243E+03  0.476005E+07  0.344560E+09  0.100029E+03  0.998499E+00  0.894381E-01  0.160239E+01  0.883867E+01  0.575472E+00  0.399510E+00
   280.0  0.155779E+01  0.906601E+01  0.122327E+03  0.481772E+07  0.349352E+09  0.100031E+03  0.998497E+00  0.939257E-01  0.165407E+01  0.878481E+01  0.601803E+00  0.418159E+00
   290.0  0.155313E+01  0.905721E+01  0.122413E+03  0.487314E+07  0.353891E+09  0.100033E+03  0.998499E+00  0.984599E-01  0.170596E+01  0.873070E+01  0.628201E+00  0.436876E+00
   300.0  0.154858E+01  0.904829E+01  0.122499E+03  0.492642E+07  0.358185E+09  0.100035E+03  0.998504E+00  0.103039E+00  0.175803E+01  0.867638E+01  0.654650E+00  0.455650E+00
