        ispec        sspc
      1          NO    
      2          NO2   
      3          O3    
      7          HONO  
      8          HNO3  
      9          HNO4  
     10          N2O5  
     32          CH4   
     14          HCHO  
     15          CO    
     13          H2O2  
     48          ISOP  
     29          ISOPRD
     52          PAN   
