        ispec        sspc
      1          NO         
      2          NO2        
      3          O3         
      8          HNO3       
      9          HO2NO2     
      6          N2O5       
     33          CH4        
     13          HCHO       
     14          CO         
     15          H2O2       
     46          C5H8       
     27          MVK        
     25          MACR       
     20          PAN        
     48          TERP       
