================================================================================
 case3                                                                                               
 Short sim name = case3           
================================================================================
    t-t0    NO            NO2           O3            HO            HO2           CO            H2O2          HNO3          HCHO          ISO           MACR          MVK     
     0.0  0.100000E+01  0.100000E+02  0.120000E+03  0.000000E+00  0.000000E+00  0.100000E+03  0.100000E+01  0.000000E+00  0.500000E+00  0.100000E+02  0.000000E+00  0.000000E+00
    10.0  0.136486E+01  0.962510E+01  0.120366E+03  0.149834E+07  0.571801E+08  0.100001E+03  0.100020E+01  0.116832E-02  0.507157E+00  0.998438E+01  0.359637E-02  0.383699E-02
    20.0  0.155832E+01  0.941808E+01  0.120578E+03  0.190173E+07  0.843800E+08  0.100001E+03  0.100041E+01  0.283258E-02  0.520336E+00  0.996334E+01  0.946014E-02  0.111628E-01
    30.0  0.165967E+01  0.930271E+01  0.120706E+03  0.216496E+07  0.100037E+09  0.100002E+03  0.100062E+01  0.479604E-02  0.536096E+00  0.993897E+01  0.163169E-01  0.200198E-01
    40.0  0.171236E+01  0.923620E+01  0.120791E+03  0.237560E+07  0.113023E+09  0.100003E+03  0.100083E+01  0.696918E-02  0.553427E+00  0.991227E+01  0.237785E-01  0.298127E-01
    50.0  0.173794E+01  0.919705E+01  0.120853E+03  0.255935E+07  0.125054E+09  0.100003E+03  0.100104E+01  0.932076E-02  0.572026E+00  0.988365E+01  0.317272E-01  0.403614E-01
    60.0  0.174790E+01  0.917371E+01  0.120903E+03  0.272368E+07  0.136409E+09  0.100004E+03  0.100126E+01  0.118433E-01  0.591805E+00  0.985324E+01  0.401270E-01  0.516124E-01
    70.0  0.175003E+01  0.915834E+01  0.120950E+03  0.287466E+07  0.147217E+09  0.100004E+03  0.100149E+01  0.145087E-01  0.612550E+00  0.982138E+01  0.488944E-01  0.634369E-01
    80.0  0.174765E+01  0.914758E+01  0.120994E+03  0.301442E+07  0.157491E+09  0.100005E+03  0.100172E+01  0.173124E-01  0.634213E+00  0.978813E+01  0.580088E-01  0.758046E-01
    90.0  0.174282E+01  0.913938E+01  0.121040E+03  0.314434E+07  0.167226E+09  0.100005E+03  0.100196E+01  0.202550E-01  0.656779E+00  0.975352E+01  0.674629E-01  0.887056E-01
