================================================================================
 case3                                                                                               
 Short sim name = case3           
================================================================================
    t-t0    NO            NO2           O3            HO            HO2           CO            H2O2          HNO3          HCHO          ISO           MACR          MVK     
   100.0  0.173693E+01  0.913229E+01  0.121087E+03  0.326723E+07  0.176529E+09  0.100006E+03  0.100221E+01  0.233086E-01  0.680055E+00  0.971784E+01  0.771819E-01  0.102024E+00
   110.0  0.173046E+01  0.912586E+01  0.121136E+03  0.338293E+07  0.185353E+09  0.100007E+03  0.100246E+01  0.264850E-01  0.704103E+00  0.968101E+01  0.871864E-01  0.115793E+00
   120.0  0.172379E+01  0.911967E+01  0.121188E+03  0.349274E+07  0.193761E+09  0.100007E+03  0.100272E+01  0.297690E-01  0.728814E+00  0.964317E+01  0.974347E-01  0.129949E+00
   130.0  0.171711E+01  0.911354E+01  0.121241E+03  0.359740E+07  0.201789E+09  0.100008E+03  0.100299E+01  0.331513E-01  0.754122E+00  0.960445E+01  0.107900E+00  0.144449E+00
   140.0  0.171050E+01  0.910736E+01  0.121297E+03  0.369722E+07  0.209449E+09  0.100009E+03  0.100326E+01  0.366295E-01  0.780000E+00  0.956486E+01  0.118570E+00  0.159279E+00
   150.0  0.170403E+01  0.910108E+01  0.121355E+03  0.379251E+07  0.216755E+09  0.100010E+03  0.100354E+01  0.402009E-01  0.806423E+00  0.952446E+01  0.129434E+00  0.174419E+00
   160.0  0.169771E+01  0.909468E+01  0.121415E+03  0.388366E+07  0.223729E+09  0.100011E+03  0.100383E+01  0.438598E-01  0.833345E+00  0.948331E+01  0.140474E+00  0.189844E+00
   170.0  0.169155E+01  0.908814E+01  0.121477E+03  0.397091E+07  0.230388E+09  0.100011E+03  0.100412E+01  0.476031E-01  0.860740E+00  0.944145E+01  0.151678E+00  0.205534E+00
   180.0  0.168555E+01  0.908146E+01  0.121540E+03  0.405475E+07  0.236765E+09  0.100012E+03  0.100442E+01  0.514220E-01  0.888548E+00  0.939898E+01  0.163023E+00  0.221455E+00
   190.0  0.167971E+01  0.907463E+01  0.121605E+03  0.413507E+07  0.242849E+09  0.100013E+03  0.100473E+01  0.553211E-01  0.916783E+00  0.935586E+01  0.174512E+00  0.237612E+00
   200.0  0.167401E+01  0.906767E+01  0.121672E+03  0.421240E+07  0.248682E+09  0.100014E+03  0.100504E+01  0.592894E-01  0.945378E+00  0.931220E+01  0.186120E+00  0.253967E+00
   210.0  0.166845E+01  0.906057E+01  0.121741E+03  0.428672E+07  0.254257E+09  0.100016E+03  0.100537E+01  0.633292E-01  0.974335E+00  0.926801E+01  0.197846E+00  0.270518E+00
   220.0  0.166303E+01  0.905334E+01  0.121810E+03  0.435832E+07  0.259599E+09  0.100017E+03  0.100569E+01  0.674352E-01  0.100362E+01  0.922333E+01  0.209674E+00  0.287242E+00
   230.0  0.165774E+01  0.904599E+01  0.121881E+03  0.442738E+07  0.264720E+09  0.100018E+03  0.100603E+01  0.716041E-01  0.103320E+01  0.917820E+01  0.221595E+00  0.304125E+00
   240.0  0.165257E+01  0.903852E+01  0.121954E+03  0.449404E+07  0.269631E+09  0.100019E+03  0.100637E+01  0.758341E-01  0.106306E+01  0.913265E+01  0.233602E+00  0.321154E+00
   250.0  0.164750E+01  0.903095E+01  0.122027E+03  0.455845E+07  0.274343E+09  0.100020E+03  0.100671E+01  0.801223E-01  0.109319E+01  0.908672E+01  0.245684E+00  0.338316E+00
   260.0  0.164254E+01  0.902326E+01  0.122102E+03  0.462080E+07  0.278873E+09  0.100022E+03  0.100706E+01  0.844653E-01  0.112354E+01  0.904043E+01  0.257832E+00  0.355596E+00
   270.0  0.163768E+01  0.901547E+01  0.122178E+03  0.468113E+07  0.283221E+09  0.100023E+03  0.100742E+01  0.888633E-01  0.115413E+01  0.899381E+01  0.270043E+00  0.372988E+00
   280.0  0.163292E+01  0.900759E+01  0.122255E+03  0.473961E+07  0.287402E+09  0.100025E+03  0.100778E+01  0.933126E-01  0.118492E+01  0.894688E+01  0.282306E+00  0.390478E+00
   290.0  0.162824E+01  0.899961E+01  0.122332E+03  0.479633E+07  0.291423E+09  0.100026E+03  0.100815E+01  0.978124E-01  0.121590E+01  0.889967E+01  0.294617E+00  0.408057E+00
   300.0  0.162365E+01  0.899154E+01  0.122411E+03  0.485140E+07  0.295291E+09  0.100028E+03  0.100852E+01  0.102361E+00  0.124706E+01  0.885221E+01  0.306969E+00  0.425717E+00
